keyword,image_url,house_url,price,bedroom_s_,bathroom_s_,square_feet,status,address
Manhattan New York NY,https://photos.zillowstatic.com/fp/c5a9b57b973f38df8d9571945443a599-p_e.jpg,https://www.zillow.com/b/15-cliff-new-york-ny-22BQ/,"$4,560+",1,null,null,15 Cliff,"15 Cliff St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/593abecd0fac595b7d3709a8300f5127-p_e.jpg,https://www.zillow.com/b/ava-high-line-new-york-ny-4MH7/,"$3,962+",0,null,null,AVA High Line,"525 W 28th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/83784de4e80279bb34565585b94ee7a6-p_e.jpg,https://www.zillow.com/b/the-dylan-new-york-ny-3LSS/,"$4,869+",0,null,null,The Dylan,"309 5th Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/54f0908e23799b4a8a5bee3ce313de10-p_e.jpg,https://www.zillow.com/b/atlas-new-york-manhattan-ny-27nq/,"$3,754+",0,null,null,Atlas New York,"66 W 38th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/e1c1a4faaccc92526fec64efd4b34cd6-p_e.jpg,https://www.zillow.com/b/two-lincoln-square-manhattan-ny-9gpqwm/,"$5,125+",1,null,null,Two Lincoln Square,"60 W 66th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/f05cbee3743bcf408139fd6e7e9ca4ee-p_e.jpg,https://www.zillow.com/b/the-biltmore-new-york-ny-5XjKmN/,"$3,990+",0,null,null,The Biltmore,"271 W 47th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/a9c02f1e4e72cb8d51d59822f30a60cf-p_e.jpg,https://www.zillow.com/b/avalon-west-chelsea-new-york-ny-26W5/,"$3,916+",0,null,null,Avalon West Chelsea,"282 11th Ave, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/c5384b7a159b2584f23f0513efc50cfe-p_e.jpg,https://www.zillow.com/b/waterside-new-york-ny-97QdBH/,"$3,255+",0,null,null,Waterside,"25 Waterside Plz, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/c9a5be2a9f196631543601a648af4473-p_e.jpg,https://www.zillow.com/b/oriana-new-york-ny-5XWNCh/,"$3,968+",0,null,null,Oriana,"420 E 54th St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e23b058181a8cab777d3d64a10cdef4a-p_e.jpg,https://www.zillow.com/b/ava-fort-greene-brooklyn-ny-5Xqbqr/,"$3,417+",0,null,null,AVA Fort Greene,"343 Gold St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/47ba64d735b85b5cdff3c8154f3d4075-p_e.jpg,https://www.zillow.com/b/hollingsworth-manhattan-ny-9jThyv/,"$4,010+",0,null,null,Hollingsworth,"70 W 37th St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e8c0373208080ea37c29ff7c7ea958df-p_e.jpg,https://www.zillow.com/b/eagle-%2b-west-brooklyn-ny-5dSKWS/,"$3,575+",0,null,null,EAGLE + WEST,"1 Eagle St, Brooklyn, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/7af0a822ddc192001d11de6352d7c316-p_e.jpg,https://www.zillow.com/b/the-sagamore-new-york-ny-7Tf7/,"$4,274+",0,null,null,The Sagamore,"189 W 89th St, New York, NY"
Manhattan New York NY,https://photos.zillowstatic.com/fp/c9cd7d15aca459a98f32738cea6f94ad-p_e.jpg,https://www.zillow.com/b/gotham-west-manhattan-ny-5XmBQy/,"$7,725/mo",2,2,null,Apartment for rent,"Gotham West, 550 W 45th St APT 2113, New York, NY 10036"
Manhattan New York NY,https://photos.zillowstatic.com/fp/8d034c1ec0c2fadc7ed9ee153bce5b5f-p_e.jpg,https://www.zillow.com/b/345-e-94-apartments-new-york-ny-5Xj4MD/,"$4,190+",1,null,null,345 E 94 Apartments,"345 E 94th St, New York, NY"
Brooklyn New York NY,https://photos.zillowstatic.com/fp/e6a425a40016c632950d4bbd51364302-p_e.jpg,https://www.zillow.com/b/the-ashland-brooklyn-ny-65X6Ys/,"$3,575+",0,null,null,The Ashland,"250 Ashland Pl, Brooklyn, NY"
